missytati	#huurders lijken wel hoeren
Bianca__1977	Hoeveel mensen zijn getroffen door het nieuwe zorgstelsel? Hoeveel door de bezuinigingen? #Afbraak gaat vlgs mij veel verder dan men denkt
HeijtingJoop	@AnitaLewys en April doet wat ie wil ! Groet fijne dag ! http://t.co/uWk45zAuor
Bartnijstad	Rust in ommen kon ud staat 1-2 voor #ovckon
IngriddeCroon	@milannina als je het goed leest dan hoef je niet te vresen.... Vrezen... Vriezen #brrrrr
maartenomvlee	#L1SPRT Vermeulen (rechts) hersteld van peesplaat rechtervoet. Peelpush heeft weer (+ Beersma) 2 fitte spelverdeler. http://t.co/r4r5AgYYAe
lailavandijk	Mn buren haten mij met hun keiharde kut muziek de hele dag
iletyouflywendy	Mijn vader instinct zegt chips #papatime
pascale_boon	vandaag opruimen en dan gaat mama blij zijn😍
RaoulvanHeese	Zo, hard gewerkt in huis. 3 zakken kleding en de korte broeken liggen weer op ooghoogte 😃. #huisman
VisserNance	@JNiebeek @barryschep ja hoezo toppers.... Je zit dan ook nog eens met een handicap
JaccoK1970	@eijer1960 was toen TE jong; #ThePiperAtTheGatesOfDawn is het album hoe ik ze heb leren kennen, op m'n 17de in mil. dienst, . .
Vand_M	Birdman vond ik maar niks. Nu #Whiplash een kans geven. #nw
lailavandijk	"@CarmenSophiaE: Sam zit er echt bij van moet dit" echt he hahah arme jongen
KoninklijkeHFC1	20. Goed schot HFC maar Van Rossum pakt hem klemvast as usual... #afchfc #topklasse
BGeesje	@JandeHoop prima weertje voor Jan wel samen hè! Is gezelliger. Gen iet van de mooie omgeving v Ugchelen=uit spreken als Michelin mannetje 😆😆
HapseBoys	Eerste doelpoging is van EWC. Goede redding Dirk.
UniverseDilan	@IngeBeauCarfan deze account is ook leuker. Die andere is een beetje onprofessioneel.
ArjanZevenaar	Voor mijn neef @GeverinkRenzo wat moestuintjes van #ah meegenomen http://t.co/WkFAkJoxIM
Simbaaaaa08	@tommy06101977 Denk dat dat idd wel een goed plan is. Dit is niks zo.
Lynnekeeee	Het gevoel dak al heel de film ging beginnen wenen 😓
st_vii	steeds een opstoot van onverklaarbaar, puberaal fangedrag, bij het horen van @manszelmerlow ☔️ #melfest #MZHeroes http://t.co/4AosRidewm
Vincent__1995	@hotsly3 heel zeker
Corjan	Zwemmen altijd goed hier in @aqualaren zwembad (@ aqualaren zwembad) https://t.co/XZ1dxIjF5k
DaenBerends	@mugsytweet @loekalike @OrdiCuli @LoesjeV @bureauzuid 't is ook wel een hele rits. kan er geen touw meer aan vastknopen
020Recruit	@ltubes haha ik zie t nu ook #eyefordetails
rouwhof	@Pepper0014 nee zij hebben altijd gelijk. Denken ze. Gehersenspoeld. Al als kind
pjbreevaart	Volg #utrfey via @rtv_rijnmond. Hopelijk 3 punten mee naar Rotterdam.
PANDA_KNUFFEL	'Wat wil je nou' JA DAT WIL IK OOK WETEN
MissTinywinie	Dat hij hier eigenlijk best wel goed in is.
FloorTweet	@LizaHopman 'Stuur je slechtste werknemers naar Cannes Lions, is goedkoper dan de ontslag’ http://t.co/dXPDG5QDkz http://t.co/qsYOwjQ0sv”
MikosGouka	@ruwebolstertje nog niks van gezien
serrytn	Lazy sunday na een toch wel 3 zware dagen (@ mein kampf in Koekelare) https://t.co/YvjZwq8g7n
hersotafels	Morgen avond #JanJonker bij Bibliotheek in http://t.co/ZZDxPYEC77
UniverseDilan	@randey_kuiper Als je opdringerig gaat worden dan doe ik het niet. ;-)
JordiRoelandts	Fak man kut snapchat nu moetk er weer ne nieuwe maken
vileplumeite	Oculus kijken.........
Marcmachielsen	@Wilcootten01 Pink Floyd live! ,wees er snel bij er zijn nog slechts enkele kaarten! http://t.co/2sFVAwkjqx
Spastika	Ek bly lekker in onse Baai #Richardsbaai #waterfront #richardsbay #meerensee @ Porky's sushi… https://t.co/rq2mYlEFSc
GertJanWeierink	@DvanMiddelkoop Is alleen een constatering. Wel aandoenlijk dat je het voor haar opneemt.
LinvanAalst	Ge zijt echt zo ne mongool maat
UniverseDilan	Volgens mij is @zomaerbraviour goed in het spel wie is wie, weer de enige met alles goed.
Simbaaaaa08	Ik mis @colin_kazim08...
KoninklijkeHFC1	21. Tamerus verlengt met de borst maar Tjon-A-Njoek's schot wordt gesmoord. #afchfc #topklasse
VVSteenbergen	19' Op de rand van de 16 wordt Jordy neergelegd. Vrije trap volgt
jarnyvvga	Jezus rutten kan er niks van
HBS1Friends	Met de rust 0-0. Zal zwaar worden. Zonder Westdijk (rood) Kaaij ( zwaar geblesseerd). Beste kans was dus voor v Pelt. Zo n 600 toeschouwers.
CarmenSophiaE	@lailavandijk kijk 😂 http://t.co/5VUIvEPyzN
chrisversloot	Windy @ Midsland aan Zee https://t.co/xjV27MXLAv
jiscacelie	Mama haar humeur wisselt ook snel seg 😒
GertJanWeierink	@DvanMiddelkoop Dus ze zit er al 4 jaar te lang.
rouwhof	@NoahMiguel00 @JoopJack55 @RodeBaret vind jij het normaal dat vrouwen minder rechten hebben als mannen? Zo zijn er nog 1000 voorbelden.
KarenvdHeijden	@Jacovanderveen Neen, als ik iets bak is dit al jaren mn secret & easy succesformule. Tot op heden :(
bndestemvoetbal	27. @vvdongen - @svTOP 3-0 strafschop Paul van Zo'n #ZoHB
Simbaaaaa08	En ik mis Boëtius die een tegenstander passeert..
UniverseDilan	@IngeBeauCarfan Houden zo, deze is gezellig. 😃😃😃😃😃😃😃😃
DassenNiek15	@vodafoneNL dat snap ik. Heb tenslotte zelf een wachtwoord gemaakt met hoofdletters erin. Als ik me nu wil inloggen met email en ww
yasperr	@Rik3080 @catherinefonck oei, inderdaad! Zat nog met Frans in m'n hoofd. #sorry
lailavandijk	@CarmenSophiaE ik zag het ja hahah
markmees	@VitalPlaces @Meerwind_HLMMR @NederstigtD66 @HLMRMEER gevonden, zie ik :-)
brendawesome1	Net in 't GB'ke mega veel mense die stoofvlees & een zak friete kochten. Stoofvlees maakt ge den dag dervoor normaal mensen #stoofvleesfriet
robinkamphuis_	@sjoerdjanssenen dat kan met Apple tv ook gewoon.
CarmenSophiaE	Er zit een steek in m'n arm en die doet echt zeer 😩
WijmansC	De eerste culturele middag van de CRP. Ze staan in de rij http://t.co/Y5aoEu6AMg
kusjeslaar_	@blondhairlrh @weijers_bart nee , kijk eff op @tessaboxem d'r acc x
UniverseDilan	Wat doen jullie vandaag? :)
PANDA_KNUFFEL	Oke als je moeder dood is& je tegen je pa zegt 'was jij maar dood' ben je echt gek in je harses🙋
Noud	@krijgnoutweeten de appel valt niet ver van de boom. Of geloof je wel in toeval?
KoninklijkeHFC1	23. Tamerus op de meegekomen Volkert en deze raakt van dichtbij de buitenkant van de paal. Beste kans tot nu. #afchfc #topklasse
_xomishella	Ik kan nooit echt wenen op films, alleen als da based is on true story
Bekkerveld	#bekkuitsl RVU scoort tegen Bekkerveld 1-0
sandracauwel	@6869stefan was het omgekeerd geweest, den boel was ontploft!!
IngriddeCroon	@milannina ze zeggen van wel hè. Ben er aan toe. Zon, strand zee, palmbomen enzo 😄
MartijnvDalenNL	Wachten op het begin van Vetter dan Vet Kindercabaret in @DEKOMNieuwegein
eriklaan	Op de Negen Maanden Beurs beland in de RAI met ondernemer @Sprankels. Laatste keer dat ik hier was In 1999 was hier de @iafastro
_MeldaMelanie	@wijnprinses @NietBitchen moet je daar niet eerst voor niet van school gestuurd worden :s
kussmaudx	was een super wedstrijd 34-4 gewonnen 😹
raveness76	@NS_online Hoe koppel ik een kids vrij abonnement aan mijn voordeel uren abonnement. Die optie staat er namelijk niet bij...
TomFR1908	Oh zucht. Wat een wedstrijd zeg.
KoninklijkeHFC1	24. Geel voor Yener. #afchfc #topklasse
NicolePouwels_	Oma weer weg leuke spullen gekregen thanks 💋
AnouckSmits	Aftellen naar de zomer
Remonov	@httpsamily dat lijkt me zo cool
BartWientjens	Op de HZhB (@ Amsterdam RAI in Amsterdam, Noord-Holland) https://t.co/EmtGfoPkWu
steffitjeuh_X	@silkevermeersch seppie ook :p
SDDL_Demen	1-1! Daan Klievink weet de toegekende penalty fijnloos binnen te schieten. #sddbos
CarmenSophiaE	Is dit nodig??? Jongens doe normaal http://t.co/xN3JMufTdb
apeldoornmeteo	#Apeldoorn 10,0 C veel #wind buien later mogelijk met #onweer en #hagel http://t.co/KSds3Waumw
BijBuitenhuis	Met @sporza_koers #KBK15 de playlist voor de Spinning®-lessen van maandag voorbereiden.!! #wielrenneninjebloed http://t.co/CeuckgWFgr
WeerInVeendam	Temp 9,0°C Gevoel:5,1°C. #Veendam : Tamelijk mooi, mogelijk eerst wat buien Min 5,3°C Max 11,6°C. Wind 8,6 km/uur NW Luchtdr. 999,2 mb.
TimelapseZwolle	#Zwolle nu: zondag 1 maart 2015 om 15:00, het is 8.9 °C #Goedemiddag http://t.co/ygPkwLy8Lh
nuyttena	busje komt zo of toch nie - febe en silke (@ Gullegem platse in Gullegem) https://t.co/TuQSXE3i9W
WEER_Oosterzee	Weatherstation-Oosterzee tijd:15:00 on 01 maart 2015 Temp:9,1C Hum:75% Bar:998,72mb rain:1,4mm Windspeed:11,6km/h Cloud base:523 m
steffitjeuh_X	Vanmarcke is sterk! Heel erg sterk!
Simbaaaaa08	Hoe krijgen ze het voor elkaar dat zowat elke voorzet onderweg wordt aangeraakt?
fienalleman	Zondag is een dag waar je een poging doet om te studeren maar uiteindelijk heel te tijd series kijkt
BDamavoetbal	SC Elshout - TGG | 73. Thom van Delft brengt Elshout op voorsprong na een messcherpe counter. Kan TGG nog terugkomen?
Tahneevkk	Kdacht ni dat ik zo kwaad op u kon zijn
TjeerdBoekhorst	Aangiften inkomstenbelasting '14 en vennootschapsbelasting '13-'14 zijn binnen een uur achter elkaar ingediend. Nu wachten op de aanslagen!
maartenomvlee	#L1SPRT Roermondse Britt Bongaerts met Eurosped terug op oude Peelpush-nest. Aanvoerster Jong Oranje wil in vlammen. http://t.co/mAdm2PkVxt
SDDL_Demen	Penalty werd gegeven na een handsbal van een speler van vv Boskant. #sddbos
KWMofficial	@toprakmyproud ook wel harde wind hier. http://t.co/Wi0DHOBEUZ
lacfrisia	@bos1956 nee, nog een minuut of 5. Wedstrijd is 20 minuten later begonnen omdat ONB de kleding was vergeten.
Alcmaria1898	Rust bij @Alcmaria1898 tegen Beverwijk. 1-0 #AVbev
xDeniseKusje_	Waatom breken mn nagels altijd af ?..
SvenJ72	Haar eerste concert #papatrots #rockon #stripconcert @ Cultuurcentrum Merksem https://t.co/FB8uZmoyes
anneliesstikker	Ik zou echt ni wete wa ik moest doen als ik ineens nimmer kan dansen
pjbreevaart	@inbreker Nog steeds met je gebroken been omhoog?
gijsbregt	Beste reactie op mijn nieuwe haar kwam van Phil: "echt Rotterdams haar". Hier in actie met Fleur - http://t.co/CYgIV5SgNE
Delhij	Bij olympia"18 Boxmeer voetbal foto's maken Olympia"18 -Achates (Ottersum)
anneliesstikker	Mijn leve is over dan denk ik #lt
Vickytjuhh92	Zit nog niet te trillen.. #utrFEY #YNWA
IngriddeCroon	@thijsslegers Ik ging zojuist even terug naar 1978.... #uitdeoudedoos http://t.co/fnHZOK3eF0
eijer1960	@boon_fred @InaMeuzelaar ik begrijp ieder #feyenoorder maar ti's niet anders de zon schijnt en ik laat deze zondag niet naar de clote gaan
rouwhof	@NoahMiguel00 @JoopJack55 @RodeBaret de koraan is gif voor de mensheid. http://t.co/L42Zu0yNvV
PrettyVDvoort	Oeff die ogen, alles 😍😭😍😭😍#VoteBBrave #KCA http://t.co/z5sL3frfDS
IvoPasveer	@susannepannetje Site Belastingdienst plat op eerste dag persoonlijke aangifte http://t.co/LugTZMAENa
HapseBoys	Tweede doelpoging levert de 0-1 op. Job Kemperman. #ewchap
KoninklijkeHFC1	25. Van Rossum heeft moeite met een stuiterende terugspeelbal. Volkert ruimt goed op. #afchfc #topklasse
confem23	Heb ik toch gelezen over "het woestijn hotel"? Tipje vd sluier @MichaelReefs ? #nieuwsgierig
VVSteenbergen	De spelers van Lepelstraat liggen vaak op de grond... dat kennen we nog van de uitwedstrijd
ambertinaxx	Ik mis de zondagochtend in België met lekkere koffiekoeken 😕
vriend58	Voor mijn gevoel zit ik al een uur te kijken maar het is pas een half uur. @RijnmondSport
Chamil_Iljasov	@jessicapetros ahja want er zijn alleen maar "Christenen op aarde" weet wat je zegt
wersmin	@Gerda_Groenenda top dus
RVoetbal	“@RKVSC: Rkvsc komt op 1-1. Doelpunt van Tom hendriks.
TomFR1908	Er is serieus nog niets gebeurd.
josgovaart	We missen een creatieve nr tien. Aan Immers heb je nu echt niets. Achabar op zijn plek wellicht? #utrfey
Telangelinknaam	Lekker half texel afgelopen net
Rutger123	Ruim 400 kg vuil weg geplukt door de PvdA PvdA staat en werkt aan een beter milieu! http://t.co/LPZIaHfcz5
Teisterbanders	27e min. 0-1 voor Wilhelmina
DaanDohmen	WOW!!! Dat dit kan, is toch 'te cool'! 91-jarige krijgt droomjob als designer! http://t.co/J0szJiw0GV
steffitjeuh_X	Mooi groepje
klomp333	Vermist in het schaffelaarsebos, wie heeft haar gezien? http://t.co/lhNeul7Lx9
eijer1960	“@ajjvandersluijs: Wentelteefjes gemaakt door onze kok #lekkerrrrrrr https://t.co/7LBr1OmlXP” ouderwets lekker
RenskeNouwens	@joleins Weet je nog?! 10 jaar terug, 3 auto's voor ons! #bijnadoodervaring http://t.co/fLNviXsXQ2
Limmerick	Gezellig. Leuke voorstelling 'Minoes' in het @Zaantheater van @Bosthproducties . Om 16.00 uur nog een keer. http://t.co/3g6wtEzC0W
JanFijnaut	Even een beetje #TLC voor het 'oude beestje'. #Volvo http://t.co/4noaaBg7Ze
17bckx	@PureEnergieNL @Klimaatplein ja, wind, waterkracht, getijden, zonne, biogas, ga zo maar door. Allemaal schone energie. Wat doen wij???
VVPhilippine	32' Ali gaat geblesseerd het veld af. Jordan komt het veld in
domineerolinka	Ik heb t aantal dopen in de Veenkerk even laten nakijken...voor n accuratere weergave:108...in 7 jaar...is toch n wat realistischer aantal
dutchkillertje	@pim33gaming dammit ik speelde t net , had ik maar op twitter gekeke. 😂
DennisPn	@Petertje07 ik zie door de snor de man zonder snor niet meer... Indrukwekkende en realistische weergave van de moderne man.
Thomass_Vn	De koers kan beginnen. We hebben enkel wind nodig voor een boeiende koers. Oude Kwaremont komt eraan #KBK http://t.co/XonMDfr6uz
PANDA_KNUFFEL	Nu gaat ii weer voor dt takkenwijf inplaats die jongen & duwt ii die jongen uit het niets?!?
Simbaaaaa08	@FKRotterdam Denk eerder andersom. Feyenoord kan niet, Utrecht probeert niet.
Naaijkie	Dat kan in #Moskou. Je knalt gewoon je politieke opponent af. #democratie is #dood in #Rusland
fietsfreak	Het was even wennen met aangepast voedsel endan ook nog windkracht7. Maar toch heerlijk 3u getraind. #2wekenzondersuiker
RDepickere	Leren met een powerpoint op je computer #gaat #niet <<< #internet
Trap078	Ze tonen echt of ze er zin in hebben.Not. #utrFEY #Feyenoord
monetstapel	Leren gaat zo moeilijk bij mij op een zondag middag.. 🔫
DjChrismaes	Open tot 18u op de terreinen van KAV Dendermonde #funnyburger #smakelijk #wijkomennaaru (@ KAV Dendermonde) https://t.co/bpYbHbExsg
EsradenizUslu	I'm at Stedelijk Museum voor Actuele Kunst | S.M.A.K. in Gent, Oost-Vlaanderen https://t.co/lDJgQ2jw7w
monetstapel	9 voor wiskunde💪📐📓
wscwaalwijk	Gele kaart voor SBC wegens hands. Vrije trap wordt bijna ingekopt door Roel. Stand blijft 1-0. #WSCSBC
CoolStuiver	@HabboVallywood ik ben blij dat ik je ken ^^ #complimentendag
Liezethoelen	Maar ge moogt daar niet binnen met rugklachten
RDepickere	Willen < Kunnen
pairsonnalitesD	NL : Pleidooi voor helmplicht e-bikers - Voor ouderen worden speciale e-bike dagen en cursussen georganiseerd. Het… http://t.co/j1h4AQfgkg
pairsonnalitesD	NL : Rekenrente hoeft geen splijtzwam te zijn in pensioendebat - De lage rente schaadt bovendien de koopkracht van… http://t.co/6v9868e2AJ
Wimpie77	Het toetje voor vanavond is al klaar. Chocolade eiwit pannenkoeken met magere kwark, walnoten,… https://t.co/AJ83T2xczb
pairsonnalitesD	NL : Niet de ziektelast bepaalt de onderzoeksinspanning - Er is amper enig verband tussen het aantal mensen dat… http://t.co/jMr7pQVXCr
lenegrooten	Hey @vanderzande ook hier in #maagdenhuis. Vast op report
kusjeslaar_	@blondhairlrh wacht ik bedoel op Bart z'n acc naar de tweets die hij naa Tessa stuurt
Kyaniix	Heeft er iemand mij stem?
GertJanWeierink	@DvanMiddelkoop Dat doen wij en hebben we gedaan. Als je het nieuws tenminste goed gevolgd hebt weet je dat. 😊
Ruud_de_Groot	De eerste dertiger zit er op: 9 km ingelopen en aansluitend #twiskemolenloop halve marathon binnen 2 uur Met #Run2Forty2 nr #LondonMarathon
JanFijnaut	@HARKEStransport bedankt voor het volgen!
TinevandeWeyer	Ja, ik sta achter deze #SamenEen boodschap: http://t.co/uJynp4Wbjw via @PvdA
CockyFaasse	Weer onderweg naar huis,goed geslaagd bij Primark!
pieterenco	@xanderycke vergeet het zout niet! ;-)
Kersb	@allochtonie Marokkaans en Turks particulier initiatief in de moskee beter idee?
nokiwiman	@missF_1981 wachten op Godot. (Of is het Godeau ??)
rouwhof	@NoahMiguel00 @JoopJack55 @RodeBaret islam is een gezwel dat zich over de wereld uitzaaid. Het is een geesteziekte.Wat gestopt moet worden
beseau10	@AltijdMelvin omfg ik heb een oude foto van je !!! http://t.co/rKoVyXbWms
patersvaatje	Nog even een selfie in de zon, voordat we terug gaan naar de sneeuw❄️ http://t.co/39QAZWWH7P
bitemytvngue	Ben zo moe omg
Jolanda1809	Straks weer even lekker sporten!! 🍷 http://t.co/UoVMkBaenm
FIFTHONESTA	Onze #VoteFifthHarmony #KCA
Telangelinknaam	Volgende keer longboarden
Vickytjuhh92	Hebben ze wat tegen Immers ofzo..? #utrFEY
bitemytvngue	Over 2 uur ben ik pas thuis .-.
FLEX_AS	Leiden: 15% beroepsbevolking zzp-er wat wordt gezien als keuze voor actieve+ondernemende levensstijl. #economie071
RBouw1	Nieuwe i Mac 27 inch opgehaald, nu wachten op zoonlief voor installatie progr. Mag er niet aankomen flauwwwww
mieke_devries	@senegallife worden deze kleurige kleden ook van gebruikt plastic gemaakt?
Stephantasties	#moving is hard. Not #traumatic though. Weni waar kom mense daaraan ni...
stijnjansenn	2 maanden daar zoveel tijd en moeite insteken en dan buist ge door het kleinste foutje 😰
kusjesblerr_	@OwenPlayfair ik wil zo graag een fb van je, je dm's voor de mainiacs zijn zo lief 💗
axellemannaerts	@Jaline48371144 ja haha kwist geen beter getal 😂❤️
NeedeRadicals	Op de een of andere manier denk ik dat ik zo de eerste IKEA hooligan word..pfff #ellende #traag #druk #doejenietvoordelol
CoolStuiver	@HabWendy wat zie jij er goed uit! #complimentendag
jarnyvvga	Gvd ga eens normaal voetballen
DennisvN	@WayneTessels zagen je net in een flits lopen op de Suzuki stand op de #motorbeurs.Hebben je motor staan bewonderen. Veel suc6 het seizoen!
Brigit1962	Eens kijken wat onze jongens in #kuurnebrusselskuurne doen? Nog 68 km te gaan! #parijsisnogver
lenegrooten	Mooie sfeer #maagdenhuis. Ruimte voor discussie, andere meningen, mooi studenten van andere universiteiten te horen http://t.co/orFTEZoHvM
ouwess	Zal ik me aansluiten bij een gang dan hoef ik nooit meer naar school of te werken.
bndestemvoetbal	34. @vvdongen - @svTOP 4-0 Sander de bont tikt in nadat keeper top hard schot van Paul van Zon niet onder controle krijgt. #ZoHB
bitemytvngue	@OhMyMaddy gezellig
juul_v	Waanzinnig! Mooi! #CirqueDuSoleil #Quidam 👍😃 @ Ahoy Rotterdam https://t.co/eCDjsAbPTO
CoolenHeleen	wow zo ziek
GertJanWeierink	@DvanMiddelkoop Zorgvuldigheid gaat voor snelheid. Misschien dat D66 daar nog wat van kan leren?
erikziengs	Deze hoort bij elke partij in het programma http://t.co/JDkEL5EXjo
wickyframbroos	Vond dit wel te delen waard. http://t.co/r6K5tJKgzI
kusjesblerr_	@maartjeplayfair Ga je nu bij Rein? 😊
Simbaaaaa08	Doe ff normaal Utrechters. Sjongejonge.. Hij wordt toch geraakt, ook al was het niet de bedoeling.
SonoEleonoor	Wat eten we vanavond? Sprinkhanen, larven of krekels? Recept, iemand? @albertheijn XL Elandstraat http://t.co/WEOJiib7lY
kutvogel	@Vrieslollies ze wilden hem naar beneden dragen en toen heeft mn pa iets losgeschroeft ofzo idk
robvdjagt	Fruitig, hoppy, licht caramel, droog, (te) veel CO2 - Drinking an Estepa @ Gollem Amstelstraat - http://t.co/ltDUXw7UOY #photo
HenkStrating	Lijkt een beetje op Feyenoord en de harde kern... “@migpolitiek: Stelling van de Dag: Affaires breken VVD op http://t.co/gn78Wv5tHE”
CityFashionTV	Courage heeft nieuwe collectiefoto's http://t.co/5OWzI35jeg #cityfashion
nielsmaagd	Wat een mooie foto @Staantribune #nostalgie http://t.co/O1serNHCOd
ReneeBalkema	@Pimbrouwers @nealpetersen Pim, mail mij even incl mob nummer. Morgen contact! Gr. Renee
Ianth	Las net dat de VVD niet komt naar debat @DeBalie. Iets met 't eigen electoraat... JE KUNT TOCH NIET ALLE UITWEDSTRIJDEN GEWOON OVERSLAAN?!
